Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGlo-LCMV-7d vs. RNA-LCMV-0d logFC	KLRGlo-LCMV-7d vs. RNA-LCMV-0d FDR	KLRGlo-LCMV-7d vs. RNA-LCMV-0d logCPM
NM_001201391	Hbb-bs|Beta-s|Hbbt1|Hbbt2|-|7|7|protein-coding	13.2651094233045	4.7048837258221496e-30	5.07953281564604
NM_001278161	Hbb-b1|AA409645|Hbb1|Hbbt1|Hbbt2|MommeD7|beta1|-|7 E3|7 54.85 cM|protein-coding	13.2651094233045	4.7048837258221496e-30	5.07953281564604
NM_008338	Ifngr2|Ifgr2|Ifgt|-|16 C3.3|16 53.07 cM|protein-coding	13.1409828779985	2.2402859449584696e-29	4.9557958935813895
NM_013454	Abca1|ABC-1|Abc1|RP23-95M14.8|4 A5-B3|4 28.57 cM|protein-coding	12.9809898813765	1.4879008130337098e-28	4.796357184412139
NM_029935	Chst15|4631426J05Rik|BRAG|GalNAcS-6ST|MAd5|mKIAA0598|-|7|7 F4|protein-coding	12.7191378106546	3.25063053650677e-27	4.5355559993028205
NM_010513	Igf1r|A330103N21Rik|CD221|D930020L01|IGF-1R|hyft|-|7 D1|7 37.27 cM|protein-coding	12.539968839243901	3.0527603641124797e-26	4.3572242056977
NM_009345	Dntt|Tdt|-|19 C3|19 34.32 cM|protein-coding	12.1691014607769	3.06865193268875e-24	3.9884579560628803
NM_028044	Cnn3|1600014M03Rik|C85854|Calpo3|-|3 G1|3|protein-coding	12.0647253640534	1.1167853112923999e-23	3.8847772523901405
NM_010517	Igfbp4|AI875747|Deb2|IGFBP-4|RP23-333D2.6|11 D|11|protein-coding	12.016783900277698	6.83223170250527e-39	6.99259461142491
NM_001277255	Acvrl1|AI115505|AI427544|Acvrlk1|Alk1|-|15|15 F3|protein-coding	11.833340727926302	1.7958882880513e-22	3.6551257378179103
NM_026639	Art4|4432404K01Rik|ARTC4|DO|DOK1|-|6 G1|6 66.72 cM|protein-coding	11.823778493724802	1.96363853782802e-22	3.64564127487881
NM_011113	Plaur|Cd87|u-PAR|uPAR|-|7 A3|7|protein-coding	11.5499099122737	4.7419910318378496e-21	3.37423335703412
NM_001281929	Gria3|2900064I19Rik|GluA3|GluR-C|GluR-K3|Glur-3|Glur3|Gluralpha3|RP23-471M13.1|X A3.3-A4|X 23.19 cM|protein-coding	11.1259835864931	7.767629454600559e-19	2.9551656413782696
NM_027395	Basp1|2610024P12Rik|CAP-23|CAP23|Ckap3|NAP-22|NAP22|-|15 B1|15|protein-coding	10.9786555060619	4.51135910996878e-18	2.809888006975
NM_175414	Tspan9|6720474K14Rik|9430079M16Rik|AU018597|-|6 F3|6|protein-coding	10.9019687662642	1.0907675495157301e-17	2.7343539726236097
NM_019417	Pdlim4|Ril|RP23-354D12.3|11 B1.3|11 32.13 cM|protein-coding	10.8958974331653	1.1693570660294501e-17	2.7283765314579504
NM_010617	Kif13a|4930505I07Rik|mKIAA4109|-|13|13 B1|protein-coding	10.852667278757801	1.92907233639886e-17	2.68582640946671
NM_007982	Ptk2|FAK|FRNK|Fadk|mKIAA4203|p125FAK|-|15 D3|15 33.94 cM|protein-coding	10.762115296469199	5.5530276705756e-17	2.59676626684547
NM_010378	H2-Aa|Aalpha|H-2Aa|H2Aa|I-Aalpha|IAalpha|Ia-1|Ia1|-|17 B1|17 17.98 cM|protein-coding	10.6654968506088	1.70151538403877e-16	2.50184565903098
NM_028878	Slc6a19|4632401C08Rik|B<0>AT1|-|13 C1|13|protein-coding	10.6137235944866	1.3907018988524499e-31	5.5919312612425705
NM_177083	B430306N03Rik|Treml6|-|17 C|17|protein-coding	10.599783825977699	3.65160996570701e-16	2.4373536284087898
NM_001001881	2510009E07Rik|AI194952|-|16 B1|16|protein-coding	10.5695888880278	5.12992321749349e-16	2.4077385156808395
NM_029653	Dapk1|D13Ucla1|DAP-Kinase|-|13 B2|13 32.53 cM|protein-coding	10.5230774269014	8.60385034146774e-16	2.3621440969898195
NM_030889	Sorcs2|N28137|mKIAA1329|-|5 B3|5|protein-coding	10.4503717950038	1.95715700508695e-15	2.2909320144901697
NM_016894	Ramp1|9130218E19Rik|-|1 D|1 46.08 cM|protein-coding	10.1909972484963	2.3815197325447602e-29	5.1705166527354995
NM_001271411	Nfam1|4921501M20Rik|Cnaip|-|15|15 E2|protein-coding	10.1574077596444	5.01504434553404e-14	2.0048015322820403
NM_001085518	Gm14085|OTTMUSG00000015615|RP23-357I14.1|2 E5|2|protein-coding	9.902296164694869	1.0005163537897098e-31	5.797903383357039
NM_001080934	Slc16a5|A130015N09Rik|MCT 5|MCT 6|MCT5|RP23-392H19.4|11 E2|11|protein-coding	9.23371013605634	2.49066012420234e-30	5.6866825575945805
NM_001198823	App|Abeta|Abpp|Adap|Ag|Cvap|E030013M08Rik|betaApp|-|16 C3-qter|16 46.92 cM|protein-coding	8.864844456633449	2.5373606643129296e-22	3.8521397605821
NM_001083955	Hba-a2|-|-|11|11 18.87 cM|protein-coding	8.460973689815559	2.93887626714453e-20	3.45244043802119
NM_008218	Hba-a1|Hba|Hba1|Hbat1|-|11 A4|11 18.86 cM|protein-coding	8.460973689815559	2.93887626714453e-20	3.45244043802119
NM_146260	Tmie|5131400L21Rik|Mm.87012|sr|-|9 F3|9 60.79 cM|protein-coding	8.423800693655581	4.66007465077691e-20	3.41571303008575
NM_008220	Hbb-bt|Beta-t|-|7|7|protein-coding	7.96171816963821	1.23429578804837e-17	2.96023581975733
NM_016956	Hbb-b2|AI036344|Hbb2|Hbbt2|beta2|-|7 E3|7 54.85 cM|protein-coding	7.96171816963821	1.23429578804837e-17	2.96023581975733
NM_027990	Lypd6b|2310010M24Rik|AW049525|RP23-190C17.1|2 C1.1|2|protein-coding	7.8356488627903	2.3234713390478898e-24	4.69573059650597
NM_011197	Ptgfrn|4833445A08Rik|AU042434|CD9P-1|FPRP|Trim45|DN-358O3.4|3|3 F3|protein-coding	7.4868850233487	3.1048873253057297e-15	2.49476859796564
NM_198297	Trat1|C030046M14Rik|Tcrim|Trim|-|16 B5|16|protein-coding	7.40930538397425	4.23896229617096e-22	4.27341983399118
NM_172546	Cnksr3|6820402C05|BC024086|Magi1|-|10 A1|10|protein-coding	7.36423635028808	2.4313157239315798e-18	3.27923120618269
NM_007932	Eng|AI528660|AI662476|CD105|Endo|S-endoglin|RP23-17P12.4|2 B|2 22.09 cM|protein-coding	7.20872851310232	6.09466363162042e-26	5.84486588270024
NM_173744	Tdrp|2610019F03Rik|-|8 A1.1|8|protein-coding	7.1830162319063495	9.786623431572339e-28	7.00338085808581
NM_008399	Itgae|A530055J10|CD103|aM290|alpha-E1|alpha-M290|RP23-263M10.6|11 B4|11 45.22 cM|protein-coding	7.132364836009869	6.69054170613876e-28	7.3438242438762105
NM_008417	Kcna2|Akr6a4|ENSMUSG00000074335|Gm10672|Kca1-2|Kv1.2|Mk-2|-|3 F2.3|3 46.61 cM|protein-coding	7.10503463004062	1.37194797438183e-24	5.39835931447557
NM_029035	Spsb1|1110014L01Rik|4930422J18Rik|AI596360|AI854583|SSB-1|SSB1|RP23-169H13.1|4 E2|4|protein-coding	7.0201521931465996	1.13879996401062e-18	3.49173256089733
NM_145933	St6gal1|AW742324|Siat1|St6Gal-I|St6gal|St6galI|-|16 B1|16 14.03 cM|protein-coding	6.86213420032336	7.238523397532478e-27	7.51503862402926
NM_022995	Pmepa1|2210418I02Rik|AW455466|Erg1.2|N4wbp4|Stag1|Tmepai|RP23-412O4.1|2 H3|2|protein-coding	6.796934984987231	9.993610140660049e-21	4.23595298688576
