Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d logFC	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d FDR	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d logCPM
NM_008716	Notch3|AW229011|N3|hpbk|-|17 B1|17 17.37 cM|protein-coding	-12.726081128031002	3.76257647286114e-24	4.77905089222083
NR_104106	Klra14-ps|EG654449|Gm15858|Klra14|Klra29|Klra31|Ly49N|OTTMUSG00000026959|-|6 F3|6 63.44 cM|pseudo	-10.391142618600401	2.57626125605913e-12	2.51643655808057
NM_181444	Gprc5a|Rai3|Raig1|-|6 G1|6|protein-coding	-10.189669894673	1.85341286193783e-11	2.32628568811692
NM_027127	Gpx8|2310016C16Rik|AU017063|-|13 D2.2|13|protein-coding	-9.89776643248715	3.30841983728749e-10	2.05270970251985
NM_001281487	Cdc20b|EG238896|EG622422|-|13 D2.2|13|protein-coding	-7.997442860517429	4.785578346881731e-16	3.5979764360593802
NM_010370	Gzma|AW494114|Ctla-3|Ctla3|Hf|SE1|TSP-1|TSP1|-|13 D|13 63.93 cM|protein-coding	-5.62841232655893	1.59177071045384e-19	9.59350325578037
NM_153590	Klre1|Klre-1|NKG2I|-|6 F3|6|protein-coding	-5.520541327782531	1.4690405616996204e-16	5.509678433875001
NM_001289605	Klra3|5E6|Ly49c|NK-2.1|Nk-2|Nk2|Nk2.1|-|6 F3|6 63.44 cM|protein-coding	-5.2034770320234	3.67077510444769e-10	2.76915919192006
NM_130878	Cdhr1|Pcdh21|Prcad|mKIAA1775|-|14 B|14|protein-coding	-4.86387012259295	1.3844725764951202e-08	2.4549811769801404
NM_010593	Jup|Ctnng|D930025P04Rik|PG|RP23-392I3.6|11 D|11 63.47 cM|protein-coding	-4.78726594301358	3.5543518732590896e-11	3.6341514777927704
