Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-7d vs. RNA-LCMV-0d logFC	KLRGhi-LCMV-7d vs. RNA-LCMV-0d FDR	KLRGhi-LCMV-7d vs. RNA-LCMV-0d logCPM
NM_001080934	Slc16a5|A130015N09Rik|MCT 5|MCT 6|MCT5|RP23-392H19.4|11 E2|11|protein-coding	13.890446665663099	1.00670302379297e-33	5.67090646136014
NM_028878	Slc6a19|4632401C08Rik|B<0>AT1|-|13 C1|13|protein-coding	13.7969825788468	3.3891843337495495e-33	5.57760531133283
NM_029723	Dapl1|2310032F03Rik|EEDA|RP23-151F21.4|2|2 C3|protein-coding	13.6996924491404	1.03306534065118e-32	5.48049647955342
NM_001278161	Hbb-b1|AA409645|Hbb1|Hbbt1|Hbbt2|MommeD7|beta1|-|7 E3|7 54.85 cM|protein-coding	13.284102417333601	1.59325436713278e-30	5.065836139749861
NM_001201391	Hbb-bs|Beta-s|Hbbt1|Hbbt2|-|7|7|protein-coding	13.284102417333601	1.59325436713278e-30	5.065836139749861
NM_008338	Ifngr2|Ifgr2|Ifgt|-|16 C3.3|16 53.07 cM|protein-coding	13.1599756998038	7.15410605862483e-30	4.94204379334053
NM_027990	Lypd6b|2310010M24Rik|AW049525|RP23-190C17.1|2 C1.1|2|protein-coding	12.8928601841275	1.97033576904824e-28	4.675754636729259
NM_009345	Dntt|Tdt|-|19 C3|19 34.32 cM|protein-coding	12.1880922741602	1.2395136078082e-24	3.97408289601093
NM_173744	Tdrp|2610019F03Rik|-|8 A1.1|8|protein-coding	12.0535250702016	2.17476156325912e-39	6.98060271948437
NM_001277255	Acvrl1|AI115505|AI427544|Acvrlk1|Alk1|-|15|15 F3|protein-coding	11.8523304675915	8.01329898820947e-23	3.64043438613944
NM_001083955	Hba-a2|-|-|11|11 18.87 cM|protein-coding	11.6442280439331	1.0241030989183e-21	3.4339180306164105
NM_008218	Hba-a1|Hba|Hba1|Hbat1|-|11 A4|11 18.86 cM|protein-coding	11.6442280439331	1.0241030989183e-21	3.4339180306164105
NM_027875	Syde1|1200008N06Rik|BB043000|mSYD1A|-|10 C1|10|protein-coding	11.5919132292592	2.01542721467208e-21	3.3820402108691696
NM_011113	Plaur|Cd87|u-PAR|uPAR|-|7 A3|7|protein-coding	11.5688985293418	2.66818497890457e-21	3.35922296650945
NM_178615	Rgmb|1110059F19Rik|DRAGON|-|17 A2|17|protein-coding	11.4688443198819	8.805280108785759e-21	3.2600657758109097
NM_172546	Cnksr3|6820402C05|BC024086|Magi1|-|10 A1|10|protein-coding	11.4646941434377	9.229836613103009e-21	3.25595420476991
NM_022420	Gprc5b|AW125761|Raig2|-|7 F3|7|protein-coding	11.347873454769198	3.90312366504635e-20	3.1402683646284197
NM_001281929	Gria3|2900064I19Rik|GluA3|GluR-C|GluR-K3|Glur-3|Glur3|Gluralpha3|RP23-471M13.1|X A3.3-A4|X 23.19 cM|protein-coding	11.1449700537581	4.603032734154499e-19	2.93957532292758
NM_009801	Car2|AI131712|CAII|Ca2|Car-2|Ltw-5|Lvtw-5|-|3 A1|3 3.23 cM|protein-coding	11.1081944786251	7.08367787356123e-19	2.9032357736968897
NM_175414	Tspan9|6720474K14Rik|9430079M16Rik|AU018597|-|6 F3|6|protein-coding	10.920953815172801	6.8743873287806295e-18	2.71840180327869
NM_019417	Pdlim4|Ril|RP23-354D12.3|11 B1.3|11 32.13 cM|protein-coding	10.914882440484	7.34218691528829e-18	2.71241398733617
NM_001290758	Tlr7|-|RP23-139P21.3|X F5|X|protein-coding	10.8841362912087	1.0456568037800802e-17	2.68209660558916
NM_010617	Kif13a|4930505I07Rik|mKIAA4109|-|13|13 B1|protein-coding	10.871651984826	1.19774714565124e-17	2.6697891075275297
NM_001085518	Gm14085|OTTMUSG00000015615|RP23-357I14.1|2 E5|2|protein-coding	10.854993205231303	3.99396389591099e-33	5.78372737478097
NM_011197	Ptgfrn|4833445A08Rik|AU042434|CD9P-1|FPRP|Trim45|DN-358O3.4|3|3 F3|protein-coding	10.6701336164974	1.3326554056807198e-16	2.4713544907090097
NM_177083	B430306N03Rik|Treml6|-|17 C|17|protein-coding	10.6187665769375	2.3983530446492e-16	2.42084726501754
NM_010517	Igfbp4|AI875747|Deb2|IGFBP-4|RP23-333D2.6|11 D|11|protein-coding	10.580133660958401	1.0135799719430499e-37	6.979958356309591
NM_029653	Dapk1|D13Ucla1|DAP-Kinase|-|13 B2|13 32.53 cM|protein-coding	10.542059513834	5.711317798098099e-16	2.34548450943557
NM_178638	Tmem108|AI462967|B130017P16Rik|R74726|-|9 F1|9|protein-coding	10.5341596322536	6.24803417654205e-16	2.33772731526359
NM_030889	Sorcs2|N28137|mKIAA1329|-|5 B3|5|protein-coding	10.4693532191002	1.2865620443869902e-15	2.27412241158991
NM_001008791	Whrn|1110035G07Rik|AW122018|AW742671|C430046P22Rik|Dfnb31|wi|RP23-340H1.8|4 C1|4 33.97 cM|protein-coding	10.401498195641901	2.76764266547713e-15	2.20758662716312
NM_008076	Gabrr2|-|RP23-12I24.2|4 A5|4 14.64 cM|protein-coding	10.3302935177685	6.11805997031598e-15	2.13783699292394
NM_007719	Ccr7|CD197|Cdw197|Cmkbr7|EBI1|Ebi1h|RP23-80N1.2|11 D|11|protein-coding	10.042232542082699	5.100197985308889e-41	8.61738547377859
NM_010478	Hspa1b|Hsp70|Hsp70-1|Hsp70.1|hsp68|-|17 B1|17 18.5 cM|protein-coding	9.91808337566996	3.65351583006466e-28	4.84951152097737
NM_013454	Abca1|ABC-1|Abc1|RP23-95M14.8|4 A5-B3|4 28.57 cM|protein-coding	9.85221610513753	8.117754246679638e-28	4.783908324723781
NM_133687	Cxxc5|4930415K17Rik|-|18|18 B3|protein-coding	9.34199564724515	4.47688263062357e-29	5.18950402501508
